公司简称,A股代码,所属行业,
天康生物,002100,C制造业,
广东鸿图,002101,C制造业,
ST冠福,002102,C制造业,
广博股份,002103,L商务服务,
恒宝股份,002104,C制造业,
信隆健康,002105,C制造业,
莱宝高科,002106,C制造业,
沃华医药,002107,C制造业,
沧州明珠,002108,C制造业,
兴化股份,002109,C制造业,
三钢闽光,002110,C制造业,
威海广泰,002111,C制造业,
三变科技,002112,C制造业,
天润数娱,002113,I信息技术,
罗平锌电,002114,C制造业,
三维通信,002115,C制造业,
中国海诚,002116,M科研服务,
东港股份,002117,C制造业,
紫鑫药业,002118,C制造业,
康强电子,002119,C制造业,
韵达股份,002120,G运输仓储,
科陆电子,002121,C制造业,
*ST天马,002122,C制造业,
梦网集团,002123,I信息技术,
天邦股份,002124,C制造业,
湘潭电化,002125,C制造业,
银轮股份,002126,C制造业,
南极电商,002127,L商务服务,
露天煤业,002128,B采矿业,
中环股份,002129,C制造业,
沃尔核材,002130,C制造业,
利欧股份,002131,I信息技术,
恒星科技,002132,C制造业,
广宇集团,002133,K房地产,
天津普林,002134,C制造业,
东南网架,002135,E建筑业,
安纳达,002136,C制造业,
麦达数字,002137,I信息技术,
顺络电子,002138,C制造业,
拓邦股份,002139,C制造业,
东华科技,002140,E建筑业,
贤丰控股,002141,C制造业,
宁波银行,002142,J金融业,
印纪传媒,002143,L商务服务,
宏达高科,002144,C制造业,
中核钛白,002145,C制造业,
荣盛发展,002146,K房地产,
ST新光,002147,K房地产,
北纬科技,002148,I信息技术,
西部材料,002149,C制造业,
通润装备,002150,C制造业,
北斗星通,002151,C制造业,
广电运通,002152,C制造业,
石基信息,002153,I信息技术,
报喜鸟,002154,C制造业,
湖南黄金,002155,B采矿业,
通富微电,002156,C制造业,
正邦科技,002157,C制造业,
汉钟精机,002158,C制造业,
三特索道,002159,N公共环保,
常铝股份,002160,C制造业,
远望谷,002161,C制造业,
悦心健康,002162,C制造业,
中航三鑫,002163,E建筑业,
宁波东力,002164,L商务服务,
红宝丽,002165,C制造业,
莱茵生物,002166,C制造业,
东方锆业,002167,C制造业,
惠程科技,002168,C制造业,
智光电气,002169,C制造业,
芭田股份,002170,C制造业,
楚江新材,002171,C制造业,
澳洋健康,002172,C制造业,
创新医疗,002173,Q卫生,
游族网络,002174,I信息技术,
东方网络,002175,I信息技术,
江特电机,002176,C制造业,
御银股份,002177,C制造业,
延华智能,002178,M科研服务,
中航光电,002179,C制造业,
纳思达,002180,C制造业,
粤传媒,002181,L商务服务,
云海金属,002182,C制造业,
怡亚通,002183,L商务服务,
海得控制,002184,C制造业,
华天科技,002185,C制造业,
全聚德,002186,H住宿餐饮,
广百股份,002187,F批发零售,
*ST巴士,002188,L商务服务,
利达光电,002189,C制造业,
成飞集成,002190,C制造业,
劲嘉股份,002191,C制造业,
融捷股份,002192,C制造业,
如意集团,002193,C制造业,
*ST凡谷,002194,C制造业,
二三四五,002195,I信息技术,
方正电机,002196,C制造业,
证通电子,002197,C制造业,
嘉应制药,002198,C制造业,
东晶电子,002199,C制造业,
云投生态,002200,A农林牧渔,
九鼎新材,002201,C制造业,
金风科技,002202,C制造业,
海亮股份,002203,C制造业,
大连重工,002204,C制造业,
国统股份,002205,C制造业,
海利得,002206,C制造业,
ST准油,002207,B采矿业,
合肥城建,002208,K房地产,
达意隆,002209,C制造业,
飞马国际,002210,L商务服务,
宏达新材,002211,C制造业,
南洋股份,002212,C制造业,
特尔佳,002213,C制造业,
大立科技,002214,C制造业,
诺普信,002215,C制造业,
三全食品,002216,C制造业,
合力泰,002217,C制造业,
拓日新能,002218,C制造业,
恒康医疗,002219,C制造业,
天宝食品,002220,C制造业,
东华能源,002221,F批发零售,
福晶科技,002222,C制造业,
鱼跃医疗,002223,C制造业,
三力士,002224,C制造业,
濮耐股份,002225,C制造业,
江南化工,002226,C制造业,
奥特迅,002227,C制造业,
合兴包装,002228,C制造业,
鸿博股份,002229,C制造业,
科大讯飞,002230,I信息技术,
奥维通信,002231,C制造业,
启明信息,002232,I信息技术,
塔牌集团,002233,C制造业,
民和股份,002234,A农林牧渔,
安妮股份,002235,I信息技术,
大华股份,002236,C制造业,
恒邦股份,002237,C制造业,
天威视讯,002238,I信息技术,
奥特佳,002239,C制造业,
威华股份,002240,C制造业,
歌尔股份,002241,C制造业,
九阳股份,002242,C制造业,
通产丽星,002243,C制造业,
滨江集团,002244,K房地产,
澳洋顺昌,002245,G运输仓储,
北化股份,002246,C制造业,
聚力文化,002247,I信息技术,
华东数控,002248,C制造业,
大洋电机,002249,C制造业,
联化科技,002250,C制造业,
步步高,002251,F批发零售,
上海莱士,002252,C制造业,
川大智胜,002253,I信息技术,
泰和新材,002254,C制造业,
海陆重工,002255,C制造业,
兆新股份,002256,C制造业,
利尔化学,002258,C制造业,
ST升达,002259,D水电煤气,
*ST德奥,002260,C制造业,
拓维信息,002261,I信息技术,
恩华药业,002262,C制造业,
*ST东南,002263,C制造业,
新华都,002264,F批发零售,
西仪股份,002265,C制造业,
浙富控股,002266,C制造业,
陕天然气,002267,D水电煤气,
卫士通,002268,I信息技术,
美邦服饰,002269,C制造业,
华明装备,002270,C制造业,
东方雨虹,002271,C制造业,
川润股份,002272,C制造业,
水晶光电,002273,C制造业,
华昌化工,002274,C制造业,
桂林三金,002275,C制造业,
万马股份,002276,C制造业,
友阿股份,002277,F批发零售,
神开股份,002278,C制造业,
